corruption,severity,param,n_samples,age_mae,age_rmse,interval_coverage,mean_interval_width,interval_coverage_calibrated,mean_interval_width_calibrated,gender_accuracy,abstention_rate,mean_confidence,age_mae_delta,age_mae_pct_change,age_rmse_delta,age_rmse_pct_change,interval_coverage_delta,interval_coverage_pct_change,mean_interval_width_delta,mean_interval_width_pct_change,interval_coverage_calibrated_delta,interval_coverage_calibrated_pct_change,mean_interval_width_calibrated_delta,mean_interval_width_calibrated_pct_change,gender_accuracy_delta,gender_accuracy_pct_change,abstention_rate_delta,abstention_rate_pct_change
low_brightness,2,0.5,300,7.121171607176463,10.114373208014701,0.7566666666666667,18.85645294189453,0.88,25.862714767456055,0.9523809523809523,0.16,0.9163329005241394,1.3681525794665026,23.781471482654,2.0169793636984696,24.908994208232063,-0.013333333333333308,-1.731601731601728,2.536834716796875,15.544694010644939,-0.0033333333333332993,-0.3773584905660339,2.536832809448242,10.875613681039587,-0.009740259740259827,-1.0123734533183442,0.04000000000000001,33.33333333333334
low_brightness,3,0.3,300,9.339886306126912,13.251573206804856,0.68,21.048128128051758,0.8133333333333334,28.054393768310547,0.8959276018099548,0.2633333333333333,0.8720865845680237,3.5868672784169515,62.34756501135258,5.154179362488625,63.652323964783754,-0.08999999999999997,-11.688311688311684,4.728509902954102,28.974390440593815,-0.06999999999999995,-7.924528301886786,4.728511810302734,20.271524218527688,-0.06619361031125737,-6.879965796130687,0.1433333333333333,119.44444444444444
high_brightness,1,1.3,300,6.050559540092945,8.888395269458181,0.76,16.933794021606445,0.8733333333333333,23.94005584716797,0.9325842696629213,0.11,0.9431616067886353,0.2975405123829846,5.171902108264419,0.7910014251419497,9.768592714521029,-0.010000000000000009,-1.2987012987012998,0.6141757965087891,3.76342012440131,-0.010000000000000009,-1.132075471698114,0.6141738891601562,2.6330146498461096,-0.02953694245829086,-3.069981420861727,-0.009999999999999995,-8.33333333333333
high_brightness,2,1.6,300,7.176367406646411,10.776798106070908,0.7333333333333333,18.667909622192383,0.86,25.674171447753906,0.926923076923077,0.13333333333333333,0.935259997844696,1.42334837893645,24.740894686437816,2.6794042617546765,33.089711495698324,-0.036666666666666736,-4.761904761904771,2.3482913970947266,14.389377035078738,-0.023333333333333317,-2.6415094339622627,2.3482894897460938,10.067312755734504,-0.035198135198135194,-3.6583888552392483,0.013333333333333336,11.111111111111112
high_brightness,3,2.0,300,8.581205626924833,13.153641830248343,0.7133333333333334,21.0985107421875,0.8333333333333334,28.104772567749023,0.912,0.16666666666666666,0.9136124849319458,2.828186599214872,49.16004250277365,5.056247985932112,62.44290549707202,-0.05666666666666664,-7.359307359307356,4.778892517089844,29.283114660981884,-0.04999999999999993,-5.660377358490559,4.778890609741211,20.487502330434324,-0.05012121212121212,-5.209448818897638,0.04666666666666666,38.888888888888886
low_contrast,1,0.7,300,5.796178814172745,8.093449436783917,0.81,18.08988380432129,0.9166666666666666,25.096145629882812,0.9534883720930233,0.14,0.9310718774795532,0.043159786462783956,0.7502110849086499,-0.003944407532314287,-0.04871206227770392,0.040000000000000036,5.194805194805199,1.7702655792236328,10.8474693145773,0.033333333333333326,3.7735849056603765,1.770263671875,7.589267900188725,-0.00863284002818887,-0.8972715619849849,0.020000000000000018,16.666666666666682
low_contrast,2,0.5,300,6.672684893608094,9.13229662184979,0.8166666666666667,21.44485092163086,0.9133333333333333,28.451112747192383,0.9469387755102041,0.18333333333333332,0.9135597944259644,0.9196658658981329,15.985795657349215,1.0349027775335582,12.780689656833019,0.046666666666666634,6.060606060606056,5.125232696533203,31.40534677858577,0.030000000000000027,3.396226415094343,5.12523078918457,21.972291544693643,-0.015182436611008043,-1.5780170335850878,0.06333333333333332,52.77777777777777
low_contrast,3,0.3,300,9.694830443064372,13.3432801555119,0.7866666666666666,29.879114151000977,0.8633333333333333,36.8853759765625,0.8792270531400966,0.31,0.8576440215110779,3.9418114153544117,68.51726713171475,5.245886311195669,64.78487291164541,0.016666666666666607,2.164502164502157,13.55949592590332,83.08709026691818,-0.020000000000000018,-2.264150943396228,13.559494018554688,58.13068094473355,-0.08289415898111552,-8.615770854730116,0.19,158.33333333333334
high_contrast,1,1.4,300,5.8852960365017255,8.356664527010084,0.7466666666666667,15.74010944366455,0.8733333333333333,22.746370315551758,0.950381679389313,0.12666666666666668,0.9429585933685303,0.13227700879176485,2.2992624942597986,0.25927068269385245,3.201902830450086,-0.023333333333333317,-3.030303030303028,-0.5795087814331055,-3.5509947196061793,-0.010000000000000009,-1.132075471698114,-0.5795116424560547,-2.4844147093743967,-0.011739532731899205,-1.2201719059926732,0.006666666666666682,5.555555555555569
high_contrast,2,1.8,300,6.234938414196173,8.819773312228708,0.7433333333333333,15.941139221191406,0.86,22.94740104675293,0.9429657794676806,0.12333333333333334,0.940170407295227,0.48191938648621235,8.376808492462862,0.7223794679124769,8.921135389993825,-0.026666666666666727,-3.4632034632034707,-0.37847900390625,-2.319165795950997,-0.023333333333333317,-2.6415094339622627,-0.3784809112548828,-1.6225792102362488,-0.01915543265353159,-1.9909583545402911,0.003333333333333341,2.7777777777777843
